cell_id,alpha,utilization,oracle_mode,method_id,mean_regret,p95_regret,accuracy,certified,mode_errors
BASE_ACTUAL_NEAR,1.05,0.62,actual_maximum_demand,EMP,0.0031935483870967514,0.0080645161290322,0.604,14,396
BASE_ACTUAL_NEAR,1.05,0.62,actual_maximum_demand,EVENT-EMP,0.0028870967741935274,0.0080645161290322,0.642,21,358
BASE_ACTUAL_NEAR,1.05,0.62,actual_maximum_demand,GEV,0.003185483870967719,0.0080645161290322,0.605,9,395
BASE_ACTUAL_NEAR,1.05,0.62,actual_maximum_demand,KDE,0.0031935483870967514,0.0080645161290322,0.604,5,396
BASE_ACTUAL_NEAR,1.05,0.62,actual_maximum_demand,TAIL,0.0028790322580644957,0.0080645161290322,0.643,22,357
BASE_CAPACITY_NEAR,1.05,0.63,capacity,EMP,0.0037519999999999065,0.0079999999999998,0.531,13,469
BASE_CAPACITY_NEAR,1.05,0.63,capacity,EVENT-EMP,0.0038639999999999035,0.0079999999999998,0.517,21,483
BASE_CAPACITY_NEAR,1.05,0.63,capacity,GEV,0.0037519999999999065,0.0079999999999998,0.531,6,469
BASE_CAPACITY_NEAR,1.05,0.63,capacity,KDE,0.0037519999999999065,0.0079999999999998,0.531,5,469
BASE_CAPACITY_NEAR,1.05,0.63,capacity,TAIL,0.0039039999999999028,0.0079999999999998,0.512,22,488
STRESS_ACTUAL_CLEAR,1.2,0.4,actual_maximum_demand,EMP,0.0005374045275716592,0.0,0.991,333,9
STRESS_ACTUAL_CLEAR,1.2,0.4,actual_maximum_demand,EVENT-EMP,0.0001194232283492576,0.0,0.998,366,2
STRESS_ACTUAL_CLEAR,1.2,0.4,actual_maximum_demand,GEV,0.0003582696850477728,0.0,0.994,353,6
STRESS_ACTUAL_CLEAR,1.2,0.4,actual_maximum_demand,KDE,0.0001194232283492576,0.0,0.998,338,2
STRESS_ACTUAL_CLEAR,1.2,0.4,actual_maximum_demand,TAIL,0.0,0.0,1.0,480,0
STRESS_ACTUAL_NEAR,1.2,0.45,actual_maximum_demand,EMP,0.000621067818104213,0.0009298489685393,0.465,0,535
STRESS_ACTUAL_NEAR,1.2,0.45,actual_maximum_demand,EVENT-EMP,0.0006811810343318539,0.0009298489685393,0.474,0,526
STRESS_ACTUAL_NEAR,1.2,0.45,actual_maximum_demand,GEV,0.0005389766298854189,0.0009298489685393,0.506,0,494
STRESS_ACTUAL_NEAR,1.2,0.45,actual_maximum_demand,KDE,0.0002780583414861391,0.0009298489685393,0.713,0,287
STRESS_ACTUAL_NEAR,1.2,0.45,actual_maximum_demand,TAIL,0.0004472182034914182,0.0009298489685393,0.524,0,476
STRESS_CAPACITY_CLEAR,1.2,0.7,capacity,EMP,0.008199277953805668,0.11003888643770043,0.93,513,70
STRESS_CAPACITY_CLEAR,1.2,0.7,capacity,EVENT-EMP,0.0073895290474784,0.10895824105880893,0.935,536,65
STRESS_CAPACITY_CLEAR,1.2,0.7,capacity,GEV,0.007503242155300969,0.10969836144734225,0.935,511,65
STRESS_CAPACITY_CLEAR,1.2,0.7,capacity,KDE,0.0035345288210596043,0.0,0.969,479,31
STRESS_CAPACITY_CLEAR,1.2,0.7,capacity,TAIL,0.006808619925048299,0.1102214653670401,0.941,558,59
STRESS_CAPACITY_NEAR,1.2,0.635,capacity,EMP,0.005164467082629102,0.01725838579104086,0.445,4,555
STRESS_CAPACITY_NEAR,1.2,0.635,capacity,EVENT-EMP,0.004054786833904969,0.012328800286349313,0.446,3,554
STRESS_CAPACITY_NEAR,1.2,0.635,capacity,GEV,0.004323941927135445,0.0159999999999998,0.457,2,543
STRESS_CAPACITY_NEAR,1.2,0.635,capacity,KDE,0.004062651772396688,0.0159999999999998,0.536,2,464
STRESS_CAPACITY_NEAR,1.2,0.635,capacity,TAIL,0.0036413472457594753,0.01059552862848895,0.452,6,548
STRESS_CONTRACT_CLEAR,1.2,0.625,contracted_maximum_demand,EMP,0.00715006183509785,0.013281196561581258,0.6,21,400
STRESS_CONTRACT_CLEAR,1.2,0.625,contracted_maximum_demand,EVENT-EMP,0.006031556573420989,0.0114494930664087,0.618,22,382
STRESS_CONTRACT_CLEAR,1.2,0.625,contracted_maximum_demand,GEV,0.006488131320079504,0.0114494930664087,0.576,19,424
STRESS_CONTRACT_CLEAR,1.2,0.625,contracted_maximum_demand,KDE,0.0077881228627434615,0.0114494930664087,0.389,8,611
STRESS_CONTRACT_CLEAR,1.2,0.625,contracted_maximum_demand,TAIL,0.005467784126973505,0.0114494930664087,0.626,40,374
STRESS_CONTRACT_NEAR_HIGH,1.2,0.63,contracted_maximum_demand,EMP,0.004265329441598232,0.01275182985738962,0.567,3,433
STRESS_CONTRACT_NEAR_HIGH,1.2,0.63,contracted_maximum_demand,EVENT-EMP,0.0031003226504316963,0.008637359065517087,0.593,2,407
STRESS_CONTRACT_NEAR_HIGH,1.2,0.63,contracted_maximum_demand,GEV,0.0035196122641004465,0.0114494930664087,0.543,1,457
